Price,Location,Type,Area,Building,Walk,Years
12430,杉並区,4LDK,200.66,113.03,10.0,44.0
13360,世田谷区,3LDK,104.69,101.39,0.0,8.0
14490,杉並区,4LDK,210.51,214.77,12.0,35.0
17780,江戸川区,7LDK,202.35,375.38,4.0,24.0
18790,世田谷区,4LDK,192.39,184.1,1.0,38.0
12470,世田谷区,4LDK,107.89,146.17,10.0,14.0
2660,世田谷区,3DK,78.29,62.78,21.0,47.0
2870,世田谷区,4DK,55.64,57.69,11.0,33.0
3170,杉並区,3DK,42.77,57.82,12.0,29.0
3190,葛飾区,2LDK,46.08,66.85,12.0,7.0
3210,江戸川区,3LDK,65.32,71.13,17.0,21.0
3260,江戸川区,2DK,46.31,48.81,12.0,7.0
3570,世田谷区,3DK,43.52,46.01,9.0,40.0
4000,世田谷区,3LDK,71.35,81.41,16.0,56.0
3980,江戸川区,3LDK,81.91,78.23,7.0,20.0
4030,葛飾区,3LDK,142.16,99.09,9.0,1.0
4070,世田谷区,3DK,67.82,66.91,4.0,44.0
4240,杉並区,2LDK,52.4,85.25,7.0,23.0
4340,杉並区,3LDK,52.43,71.66,8.0,6.0
4760,世田谷区,3LDK,116.29,72.1,13.0,15.0
4740,杉並区,3LDK,69.23,70.13,8.0,26.0
4880,世田谷区,2LDK,74.88,67.35,14.0,0.0
4900,杉並区,3LDK,63.19,65.51,9.0,23.0
5010,世田谷区,2LDK,43.84,67.17,2.0,12.0
5010,杉並区,2LDK,37.89,61.97,12.0,11.0
5020,江戸川区,4LDK,88.72,101.46,13.0,8.0
5120,世田谷区,3LDK,42.59,77.65,12.0,12.0
5140,世田谷区,4LDK,120.0,103.07,29.0,44.0
5150,世田谷区,3LDK,73.06,71.07,6.0,26.0
5270,世田谷区,4LDK,86.88,96.89,15.0,15.0
5310,江戸川区,4LDK,73.15,151.2,9.0,16.0
5370,世田谷区,2LDK,47.27,73.33,7.0,1.0
5520,世田谷区,2LDK,51.44,83.64,17.0,3.0
5660,杉並区,4LDK,95.84,85.77,15.0,16.0
5820,杉並区,2LDK,73.69,84.79,14.0,3.0
5800,世田谷区,2LDK,71.4,103.44,3.0,15.0
5900,世田谷区,4LDK,115.31,93.11,10.0,29.0
6000,杉並区,4LDK,65.63,90.83,2.0,22.0
5960,杉並区,5LDK,211.37,126.2,9.0,17.0
5980,世田谷区,3LDK,52.01,101.5,8.0,3.0
